"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1"
"02950099999","1904-01-26T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10150,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-26T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10136,1",
"02950099999","1904-01-26T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10139,1","00,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-27T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10170,1","02,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-27T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10183,1",
"02950099999","1904-01-27T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10190,1","00,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-28T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0159,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10178,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-28T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0180,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10158,1",
"02950099999","1904-01-28T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0180,1","99999,9,9,N","000000,1,N,9","+0022,1","+9999,9","10144,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-29T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0159,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10130,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-29T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0159,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10116,1",
"02950099999","1904-01-29T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10114,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-30T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10147,1","00,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-30T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10188,1",
"02950099999","1904-01-30T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10210,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-31T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","160,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10226,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-31T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","160,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10240,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-31T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","160,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","10239,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-02-01T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","160,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","10234,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-02-01T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","10251,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-02-01T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","10252,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
